ticker,long_term_trend_year,long_term_trend_time_frame,long_term_trend_context,long_term_trend_detail,medium_term_trend_time_frame,medium_term_trend_context,medium_term_trend_detail,long_term_trend_start,medium_term_trend_start,long_term_trend_end,medium_term_trend_end,count_impulsive_waves,count_corrective_waves,reversal_pattern,review,note
DX,1985,Y,https://www.tradingview.com/x/JuWvhwbE/,https://www.tradingview.com/x/fnUrNsZw/,M,https://www.tradingview.com/x/xhLh0Nd8/,https://www.tradingview.com/x/Mz0EzygT/,,center_rotation,break_last_supply_zone_and_trend_line,break_last_demand_zone_and_trend_line,4,3,head_and_shoulder,TRUE,
DX,2021,3M,https://www.tradingview.com/x/jD3qEJNN/,https://www.tradingview.com/x/g9ymucXR/,W,https://www.tradingview.com/x/v9W9wanv/,https://www.tradingview.com/x/aKP3EiuH/,center_rotation,liq_catch,break_last_demand_zone_and_trend_line,break_last_supply_zone_and_trend_line,5,4,head_and_shoulder,TRUE,
EURUSD,1976,Y,https://www.tradingview.com/x/9EYpFUfJ/,https://www.tradingview.com/x/xujgKYMP/,M,https://www.tradingview.com/x/QY8dh8Pb/,https://www.tradingview.com/x/vEYqyuVW/,center_rotation,center_rotation,break_last_demand_zone_and_trend_line,break_last_supply_zone_and_trend_line,5,4,double_bottom,TRUE,
EURUSD,2021,3M,https://www.tradingview.com/x/sUUMXeQP/,https://www.tradingview.com/x/VqfdNJ1F/,W,https://www.tradingview.com/x/mmJ31rdQ/,https://www.tradingview.com/x/Lfa08MHp/,center_rotation,liq_catch,break_last_supply_zone_and_trend_line,break_last_demand_zone_and_trend_line,7,6,triple_top,TRUE,
SPX,1982,Y,https://www.tradingview.com/x/yEe6W8m1/,https://www.tradingview.com/x/6xhUd7ix/,M,https://www.tradingview.com/x/6xhUd7ix/,https://www.tradingview.com/x/fiv878hf/,center_rotation,liq_catch,,break_last_supply_zone_and_trend_line,4,3,head_and_shoulder,TRUE,
SPX,2020,3M,https://www.tradingview.com/x/rGTjxFGT/,https://www.tradingview.com/x/urZQr1GX/,W,https://www.tradingview.com/x/urZQr1GX/,https://www.tradingview.com/x/OgchReGX/,liq_catch,,break_last_demand_zone_and_trend_line,break_last_supply_zone_and_trend_line,7,6,v_rejection,TRUE,
NDQ,1985,Y,https://www.tradingview.com/x/0FarGlqy/,https://www.tradingview.com/x/0mUD7jFe/,M,https://www.tradingview.com/x/0mUD7jFe/,https://www.tradingview.com/x/ic4Vnhaz/,,liq_catch,,break_last_supply_zone_and_trend_line,4,3,head_and_shoulder,TRUE,
NDQ,2022,3M,https://www.tradingview.com/x/GyZIk3EW/,https://www.tradingview.com/x/lFEWa1T5/,W,https://www.tradingview.com/x/lFEWa1T5/,https://www.tradingview.com/x/zg7iQJDo/,center_rotation,center_rotation,,break_last_demand_zone_and_trend_line,3,3,head_and_shoulder,TRUE,
BTCUSD,2020,3M,https://www.tradingview.com/x/l8vuixL8/,https://www.tradingview.com/x/RKl21f9y/,W,https://www.tradingview.com/x/RKl21f9y/,https://www.tradingview.com/x/KBdIgq5r/,center_rotation,center_rotation,break_last_demand_zone_and_trend_line,break_last_supply_zone_and_trend_line,3,2,double_bottom,TRUE,
BTCUSD,2022,3M,https://www.tradingview.com/x/sKJZi1T5/,https://www.tradingview.com/x/ONq1ypGe/,W,https://www.tradingview.com/x/ONq1ypGe/,https://www.tradingview.com/x/KRKFzldk/,center_rotation,center_rotation,,break_last_demand_zone_and_trend_line,3,3,head_and_shoulder,TRUE,
ETHUSD,2020,3M,https://www.tradingview.com/x/xsR1lWbK/,https://www.tradingview.com/x/nvf0qJh3/,M,https://www.tradingview.com/x/DIaYcxMe/,https://www.tradingview.com/x/aoCxer0n/,center_rotation,center_rotation,break_last_demand_zone_and_trend_line,break_last_supply_zone_and_trend_line,7,6,double_bottom,TRUE,
ETHUSD,2022,3M,https://www.tradingview.com/x/UwdTx02n/,https://www.tradingview.com/x/wya5qeSk/,W,https://www.tradingview.com/x/jlEKKMst/,https://www.tradingview.com/x/emTa2a1R/,center_rotation,liq_catch,,break_last_demand_zone_and_trend_line,1,1,double_top,TRUE,
GC,1977,Y,https://www.tradingview.com/x/HIhwVbNl/,https://www.tradingview.com/x/Xf0OaKzU/,W,https://www.tradingview.com/x/qUjYVkOR/,https://www.tradingview.com/x/vqx5xyhd/,liq_catch,liq_catch,,break_last_supply_zone_and_trend_line,4,3,head_and_shoulder,TRUE,
GC,2022,3M,https://www.tradingview.com/x/EzSaIb6A/,https://www.tradingview.com/x/o9LW7TCa/,W,https://www.tradingview.com/x/o9LW7TCa/,https://www.tradingview.com/x/cWj8fH5b/,liq_catch,liq_catch,break_last_supply_zone_and_trend_line,break_last_demand_zone_and_trend_line,3,3,head_and_shoulder,TRUE,
CL,2002,Y,https://www.tradingview.com/x/XklEUgZ9/,https://www.tradingview.com/x/aVxVOCVr/,M,https://www.tradingview.com/x/aVxVOCVr/,https://www.tradingview.com/x/yz0jmAww/,center_rotation,center_rotation,break_last_demand_zone_and_trend_line,break_last_supply_zone_and_trend_line,3,2,double_bottom,TRUE,
CL,2020,3M,https://www.tradingview.com/x/7XOG4Qnr/,https://www.tradingview.com/x/9Lp0b8Pd/,W,https://www.tradingview.com/x/9Lp0b8Pd/,https://www.tradingview.com/x/q4GSXlxx/,liq_catch,center_rotation,break_last_demand_zone_and_trend_line,break_last_supply_zone_and_trend_line,5,4,double_bottom,TRUE,
KC,1975,Y,https://www.tradingview.com/x/9lG4Y0ti/,https://www.tradingview.com/x/3pNFBJC6/,W,https://www.tradingview.com/x/m6QpLAxo/,https://www.tradingview.com/x/BCIBWMW3/,liq_catch,center_rotation,break_last_demand_zone_and_trend_line,break_last_supply_zone_and_trend_line,4,3,v_rejection,TRUE,
KC,2021,3M,https://www.tradingview.com/x/uqp50nfW/,https://www.tradingview.com/x/pTLkHGSV/,W,https://www.tradingview.com/x/pTLkHGSV/,https://www.tradingview.com/x/SAITU6LC/,center_rotation,liq_catch,break_last_demand_zone_and_trend_line,break_last_supply_zone_and_trend_line,4,3,head_and_shoulder,TRUE,
TLT,2018,3M,https://www.tradingview.com/x/ntHft0ld/,https://www.tradingview.com/x/ZPk7lLXw/,M,https://www.tradingview.com/x/CehN6ace/,https://www.tradingview.com/x/x9j4V0FO/,liq_catch,center_rotation,,break_last_supply_zone_and_trend_line,5,5,double_bottom,TRUE,
TLT,2022,3M,https://www.tradingview.com/x/GYhOXsbk/,https://www.tradingview.com/x/cJZo4M0N/,W,https://www.tradingview.com/x/cJZo4M0N/,https://www.tradingview.com/x/IKlMyWgK/,center_rotation,center_rotation,,break_last_demand_zone_and_trend_line,3,3,head_and_shoulder,TRUE,
